COLUMNS;DELAY_INCREMENTAL_INI;FILTER_COLUMN;PARTITION_COLUMN;FILTER_DATA_TYPE;FILTER_EXP;ID_COLUMN;JOIN_EXPR;PROCESS_ID;SOURCE_SCHEMA;SOURCE_TABLE;SOURCE_TABLE_TYPE;STAGE_TABLE_NAME
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,cast(cast(discendist as int) as varchar(20)) discendist,replace(replace(desccentdi, char(13),''), char(10),'') desccentdi,cast(cast(jefevta as int) as varchar(20)) jefevta,cast(cast(qclicdis as int) as varchar(20)) qclicdis, stscendist, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod;;;;;;rtrim(ltrim(compania)) + '|' + cast(discendist as varchar(20));;10;dbo;mestdi1f;m;m_division
dbo.func_cas_todatetime(a.fecultmod,a.horultimod) lastmodifydate, a.compania compania,a.centrocost centrocost,a.ejercicio ejercicio,a.nombre nombre,a.area area,a.gerencia gerencia,a.flgtipo flgtipo,a.tipalmacen tipalmacen,a.estado estado,a.ccostcorp ccostcorp,a.usucrea usucrea,a.feccrea feccrea,a.horcrea horcrea,a.ultusumod ultusumod,a.fecultmod fecultmod,a.horultimod horultimod, b.nombre nombrecorp;;;;;a.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(a.compania)) + '|' + rtrim(ltrim(a.centrocost)) + '|' + rtrim(ltrim(a.ejercicio));left join dbo.coccost1f(nolock) b on a.ejercicio = b.ejercicio and a.ccostcorp = b.centrocost;30;dbo;tccost1f a;m;m_centro_costo
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,cast(cast(motivo as int) as varchar(20)) motivo,descrip,flgtipmoti,estado,usucrea,feccrea,horcrea,ultusumod,fecultmod,horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(motivo));;30;dbo;bmotiv1f;m;m_motivo_gasto
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal,rtrim(ltrim(emisor)) emisor,rtrim(ltrim(docupedido)) docupedido,cast(cast(nropedido as bigint) as varchar(100)) nropedido, origpedido, nropediori, fecpedido, tcajped, stspedido, discendist, zonadist, vendedor, ruta, modulo, stspederr,case when procesan = 0x46 then 'F' when procesan = 0x54 then 'T' end procesan, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,rtrim(ltrim(docucomalm)) docucomalm, nrocomalm, numordcom, codfvtas, tvta, fordvisit, fecentrega, aprobadop, fecaprobac, horaprobac, desaprobp,case when flgdesapro = 0x46 then 'F' when flgdesapro = 0x54 then 'T' end flgdesapro, tipoped, fecrecojo, formpago, horentrega, ordcompra,rtrim(ltrim(moneda)) moneda, termnegoc,cast(null as varchar(4)) jefevta,cast(null as varchar(4)) supervisor,cast(null as varchar(4)) idestcom,cast(null as varchar(4)) medpago,cast(null as varchar(4)) proveedor,cast(null as varchar(4)) codigogln;-2;fecpedido between {0} and {1};;aje_date;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + ltrim(rtrim(emisor)) + '|' + ltrim(rtrim(docupedido)) + '|' + cast(cast(nropedido as bigint) as varchar(100));;10;dbo;tpedid1f;t;t_documento_pedido_ades
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal,rtrim(ltrim(emisor)) emisor,rtrim(ltrim(docupedido)) docupedido,cast(cast(nropedido as bigint) as varchar(20)) nropedido, origpedido,cast(cast(nropediori as bigint) as varchar(20)) nropediori, fecpedido, tcajped, stspedido,cast(cast(discendist as int) as varchar(20)) discendist,cast(cast(zonadist as int) as varchar(20)) zonadist,cast(cast(vendedor as int) as varchar(20)) vendedor,cast(cast(ruta as int) as varchar(20)) ruta,cast(cast(modulo as int) as varchar(20)) modulo, stspederr,case when procesan = 0x46 then 'F' when procesan = 0x54 then 'T' end procesan, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,rtrim(ltrim(docucomalm)) docucomalm, nrocomalm, numordcom,cast(cast(codfvtas as int) as varchar(20)) codfvtas, tvta, fordvisit, fecentrega,cast(cast(aprobadop as int) as varchar(20)) aprobadop, fecaprobac, horaprobac, desaprobp,case when flgdesapro = 0x46 then 'F' when flgdesapro = 0x54 then 'T' end flgdesapro, tipoped, fecrecojo, formpago, horentrega, ordcompra,rtrim(ltrim(moneda)) moneda,cast(null as varchar(4)) term_negoci, termnegoc,cast(null as varchar(4)) jefevta,cast(null as varchar(4)) supervisor,cast(null as varchar(4)) idestcom,cast(null as varchar(4)) medpago;-2;fecpedido between {0} and {1};;aje_processperiod;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + rtrim(ltrim(emisor)) + '|' + rtrim(ltrim(docupedido)) + '|' + cast(cast(nropedido as bigint) as varchar(20));;10;dbo;thpedi1f;t;t_documento_pedido
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal, equipo, clasequip, ccosto, planta, tpedcomp, npedcomp, tcpedcom, codlocal, codfam, codsubfam, codcricomp, descripb, descripad, aniofab, fechainst, factura, costome, fabricante, numserie, modelo, codanteri, estado, pedidotec, tipo, cotizacion, nroacti, cmanobr, mcosrem, mcosori, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod, turnos, horaxtur, diaxsem, hormant, codenlace, clasiflinea, codoee;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + cast(equipo as varchar(100));;10,20;dbo;mequipo1f;m;m_equipo_insumo
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, linea, familia,replace(replace(descrip, char(13),''), char(10),'') descrip,replace(replace(descripcor, char(13),''), char(10),'') descripcor, centrocost, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, parancel,case when flgflete = 0x46 then 'F' when flgflete = 0x54 then 'T' end flgflete, familia_corp, categoria, flgcatfiscal;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(linea)) + '|' + rtrim(ltrim(familia));;10;dbo;mfamil1f;m;m_familia
dbo.func_cas_todatetime(m.fecultmod,m.horultimod) lastmodifydate, m.compania,replace(replace(m.nombre, char(13),''), char(10),'') nombre,cast(cast(m.persona as int) as varchar(20)) persona, m.tipovia,replace(replace(m.direccion, char(13),''), char(10),'') direccion,rtrim(ltrim(m.pais)) pais, m.departamen, m.provincia, m.zonapostal, m.telefono1, m.telefono2, m.telefono3, m.telefono4, m.fax, m.flgtipocia, m.ruc, m.nota, m.regigv, m.estado, m.feccrea, m.horcrea, m.usucrea, m.fecultmod, m.horultimod, m.ultusumod, m.abrevbco,case when m.aprobreq = 0x46 then 'F' when m.aprobreq = 0x54 then 'T' end aprobreq,case when m.aproboco = 0x46 then 'F' when m.aproboco = 0x54 then 'T' end aproboco, m.ipenlace,case when m.flgctrfaoc = 0x46 then 'F' when m.flgctrfaoc = 0x54 then 'T' end flgctrfaoc,case when m.flgrestart = 0x46 then 'F' when m.flgrestart = 0x54 then 'T' end flgrestart,case when m.flgaprogj = 0x46 then 'F' when m.flgaprogj = 0x54 then 'T' end flgaprogj,cast(cast(m.cantemple as int) as varchar(20)) cantemple, m.sucprin, m.coidioma, m.intercom, m.flgbi, t.monsol;;;;;m.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(m.compania));inner join dbo.mparam1f(nolock) t on t.compania = m.compania;10;dbo;mcompa1f m;m;m_compania
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate,rtrim(ltrim(pais)) pais,replace(replace(descrip, char(13),''), char(10),'') descrip, continente, codletr, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod,cast(cast(zonareg as int) as varchar(20)) zonareg;;;;;;rtrim(ltrim(codletr));;10;dbo;bubige1f;m;m_pais
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,tipcapveh,desctvehi1,ststiveh,feccreacio,horcreacio,usuacreac,fecultimod,horultimod,usuaulmod,pesoxcamion,tarimasxcamion,configvehi,imagen,limcapfle;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(tipcapveh));;70;dbo;btiveh2f;m;m_capacidad_vehiculo
