COLUMN_NAME;COLUMN_ID;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;TRANSFORMATION
Id;1;;T;;;int;ANIOACADEMICO;fn_transform_Integer(Id)
Nombre;2;;;;;string;ANIOACADEMICO;fn_transform_ClearString(Nombre)
FechaInicio;3;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaInicio,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaFin;4;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaFin,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
NroResolucion;5;;;;;string;ANIOACADEMICO;fn_transform_ClearString(NroResolucion)
Denominacion;6;;;;;string;ANIOACADEMICO;fn_transform_ClearString(Denominacion)
EstadoId;7;;;;;int;ANIOACADEMICO;fn_transform_Integer(EstadoId)
FechaCreacion;8;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;9;;;T;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
UsuarioCreacionId;10;;;;;int;ANIOACADEMICO;fn_transform_Integer(UsuarioCreacionId)
UsuarioActualizacionId;11;;;;;int;ANIOACADEMICO;fn_transform_Integer(UsuarioActualizacionId)
GeoreferenciaId;12;;;;;int;ANIOACADEMICO;fn_transform_Integer(GeoreferenciaId)
OrganigramaId;13;;;;;int;ANIOACADEMICO;fn_transform_Integer(OrganigramaId)
TipoId;14;;;;;int;ANIOACADEMICO;fn_transform_Integer(TipoId)
EmpresaId;15;;;;;int;ANIOACADEMICO;fn_transform_Integer(EmpresaId)
Anio;16;;;;;int;ANIOACADEMICO;fn_transform_Integer(Anio)
TipoUni;17;;;;;boolean;ANIOACADEMICO;fn_transform_Boolean(TipoUni)
CodigoExternoId;18;;;;;string;ANIOACADEMICO;fn_transform_ClearString(CodigoExternoId)
Id;1;;T;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(Id)
EstadoId;2;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(EstadoId)
IdAnioAcademico;3;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdAnioAcademico)
IdPeriodoAcad;4;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdPeriodoAcad)
IdAula;5;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdAula)
IdGrupo;6;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdGrupo)
IdPlanEstudio;7;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdPlanEstudio)
IdPlanEstudioVersion;8;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdPlanEstudioVersion)
CapacidadVacante;9;;;;;string;CA_CARGA_ACADEMICA;fn_transform_ClearString(CapacidadVacante)
IdUsuarioCreacion;10;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdUsuarioCreacion)
IdUsuarioActualizacion;11;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdUsuarioActualizacion)
FechaCreacion;12;;;;;timestamp;CA_CARGA_ACADEMICA;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;13;;;T;;timestamp;CA_CARGA_ACADEMICA;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
CapacidadVacanteD;15;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(CapacidadVacanteD)
IdEmpleadoTutor;16;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(IdEmpleadoTutor)
CapacidadAula;17;;;;;int;CA_CARGA_ACADEMICA;fn_transform_Integer(CapacidadAula)
CargaAcademicaCalendarioPeriodoId;1;;T;;;int;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_Integer(CargaAcademicaCalendarioPeriodoId)
CargaAcademicaId;2;;;;;int;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_Integer(CargaAcademicaId)
CalendarioPeriodoId;3;;;;;int;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_Integer(CalendarioPeriodoId)
Path;4;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Path)
PathPercepcion;5;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(PathPercepcion)
EstadoId;6;;;;;int;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_Integer(EstadoId)
Observacion;7;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Observacion)
Codigo;8;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Codigo)
Id;1;;T;;;int;CA_CARGA_CURSOS;fn_transform_Integer(Id)
IdEmpleado;2;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdEmpleado)
IdTipoHora;3;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdTipoHora)
IdCargaAcademica;4;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdCargaAcademica)
Descripcion;5;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Descripcion)
Fecha_Inicio;6;;;;;date;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(Fecha_Inicio,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
Fecha_Fin;7;;;;;date;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(Fecha_Fin,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
modo;8;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(modo)
IdPlanCursos;9;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdPlanCursos)
UsuarioActualizacionId;10;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(UsuarioActualizacionId)
UsuarioCreacionId;11;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(UsuarioCreacionId)
FechaActualizacion;12;;;T;;timestamp;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaCreacion;13;;;;;timestamp;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
Estado;14;;;;;boolean;CA_CARGA_CURSOS;fn_transform_Boolean(Estado)
AnioAcademicoId;15;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(AnioAcademicoId)
AulaId;16;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(AulaId)
GrupoId;17;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(GrupoId)
IdPlanEstudioId;18;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdPlanEstudioId)
IdPlanEstudioVersion;19;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(IdPlanEstudioVersion)
CapacidadVacanteP;20;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(CapacidadVacanteP)
CapacidadVacanteD;21;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(CapacidadVacanteD)
Complejo;22;;;;;boolean;CA_CARGA_CURSOS;fn_transform_Boolean(Complejo)
Evaluable;23;;;;;boolean;CA_CARGA_CURSOS;fn_transform_Boolean(Evaluable)
Grupos;24;;;;;int;CA_CARGA_CURSOS;fn_transform_Integer(Grupos)
Especial;25;;;;;boolean;CA_CARGA_CURSOS;fn_transform_Boolean(Especial)
SalaVirtual;26;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(SalaVirtual)
CodigoExternoId;27;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(CodigoExternoId)
Id;1;;T;;;int;CA_MAE_EMPLEADO;fn_transform_Integer(Id)
TipoEmpleado;2;;;;;int;CA_MAE_EMPLEADO;fn_transform_Integer(TipoEmpleado)
PersonaId;3;;;;;int;CA_MAE_EMPLEADO;fn_transform_Integer(PersonaId)
web;4;;;;;string;CA_MAE_EMPLEADO;fn_transform_ClearString(web)
Estado;5;;;;;boolean;CA_MAE_EMPLEADO;fn_transform_Boolean(Estado)
LinkURL;6;;;;;string;CA_MAE_EMPLEADO;fn_transform_ClearString(LinkURL)
FechaCreacion;7;;;;;timestamp;CA_MAE_EMPLEADO;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;8;;;T;;timestamp;CA_MAE_EMPLEADO;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
UsuarioCreadorId;9;;;;;int;CA_MAE_EMPLEADO;fn_transform_Integer(UsuarioCreadorId)
UsuarioAccionId;10;;;;;int;CA_MAE_EMPLEADO;fn_transform_Integer(UsuarioAccionId)
Id;1;;T;;;int;CA_MAE_GRUPO;fn_transform_Integer(Id)
Nombre;2;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Nombre)
Descripcion;3;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Descripcion)
Estado;4;;;;;boolean;CA_MAE_GRUPO;fn_transform_Boolean(Estado)
GeoreferenciaId;5;;;;;int;CA_MAE_GRUPO;fn_transform_Integer(GeoreferenciaId)
