COLUMN_NAME;COLUMN_ID;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;TRANSFORMATION
Id;1;;T;;;double;ANIOACADEMICO;Id
Nombre;2;;;;;string;ANIOACADEMICO;fn_transform_ClearString(Nombre)
FechaInicio;3;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaInicio,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaFin;4;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaFin,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
NroResolucion;5;;;;;string;ANIOACADEMICO;fn_transform_ClearString(NroResolucion)
Denominacion;6;;;;;string;ANIOACADEMICO;fn_transform_ClearString(Denominacion)
EstadoId;7;;;;;double;ANIOACADEMICO;EstadoId
FechaCreacion;8;;;;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;9;;;T;;timestamp;ANIOACADEMICO;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
UsuarioCreacionId;10;;;;;double;ANIOACADEMICO;UsuarioCreacionId
UsuarioActualizacionId;11;;;;;double;ANIOACADEMICO;UsuarioActualizacionId
GeoreferenciaId;12;;;;;double;ANIOACADEMICO;GeoreferenciaId
OrganigramaId;13;;;;;double;ANIOACADEMICO;OrganigramaId
TipoId;14;;;;;double;ANIOACADEMICO;TipoId
EmpresaId;15;;;;;double;ANIOACADEMICO;EmpresaId
Anio;16;;;;;double;ANIOACADEMICO;Anio
TipoUni;17;;;;;string;ANIOACADEMICO;fn_transform_ClearString(TipoUni)
CodigoExternoId;18;;;;;string;ANIOACADEMICO;fn_transform_ClearString(CodigoExternoId)
Id;1;;T;;;double;CA_CARGA_ACADEMICA;Id
EstadoId;2;;;;;double;CA_CARGA_ACADEMICA;EstadoId
IdAnioAcademico;3;;;;;double;CA_CARGA_ACADEMICA;IdAnioAcademico
IdPeriodoAcad;4;;;;;double;CA_CARGA_ACADEMICA;IdPeriodoAcad
IdAula;5;;;;;double;CA_CARGA_ACADEMICA;IdAula
IdGrupo;6;;;;;double;CA_CARGA_ACADEMICA;IdGrupo
IdPlanEstudio;7;;;;;double;CA_CARGA_ACADEMICA;IdPlanEstudio
IdPlanEstudioVersion;8;;;;;double;CA_CARGA_ACADEMICA;IdPlanEstudioVersion
CapacidadVacante;9;;;;;string;CA_CARGA_ACADEMICA;fn_transform_ClearString(CapacidadVacante)
IdUsuarioCreacion;10;;;;;double;CA_CARGA_ACADEMICA;IdUsuarioCreacion
IdUsuarioActualizacion;11;;;;;double;CA_CARGA_ACADEMICA;IdUsuarioActualizacion
FechaCreacion;12;;;;;timestamp;CA_CARGA_ACADEMICA;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;13;;;T;;timestamp;CA_CARGA_ACADEMICA;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
CapacidadVacanteD;15;;;;;double;CA_CARGA_ACADEMICA;CapacidadVacanteD
IdEmpleadoTutor;16;;;;;double;CA_CARGA_ACADEMICA;IdEmpleadoTutor
CapacidadAula;17;;;;;double;CA_CARGA_ACADEMICA;CapacidadAula
CargaAcademicaCalendarioPeriodoId;1;;T;;;double;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;CargaAcademicaCalendarioPeriodoId
CargaAcademicaId;2;;;;;double;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;CargaAcademicaId
CalendarioPeriodoId;3;;;;;double;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;CalendarioPeriodoId
Path;4;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Path)
PathPercepcion;5;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(PathPercepcion)
EstadoId;6;;;;;double;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;EstadoId
Observacion;7;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Observacion)
Codigo;8;;;;;string;CA_CARGA_ACADEMICA_CALENDARIO_PERIODO;fn_transform_ClearString(Codigo)
Id;1;;T;;;double;CA_CARGA_CURSOS;Id
IdEmpleado;2;;;;;double;CA_CARGA_CURSOS;IdEmpleado
IdTipoHora;3;;;;;double;CA_CARGA_CURSOS;IdTipoHora
IdCargaAcademica;4;;;;;double;CA_CARGA_CURSOS;IdCargaAcademica
Descripcion;5;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Descripcion)
Fecha_Inicio;6;;;;;date;CA_CARGA_CURSOS;Fecha_Inicio
Fecha_Fin;7;;;;;date;CA_CARGA_CURSOS;Fecha_Fin
modo;8;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(modo)
IdPlanCursos;9;;;;;double;CA_CARGA_CURSOS;IdPlanCursos
UsuarioActualizacionId;10;;;;;double;CA_CARGA_CURSOS;UsuarioActualizacionId
UsuarioCreacionId;11;;;;;double;CA_CARGA_CURSOS;UsuarioCreacionId
FechaActualizacion;12;;;T;;timestamp;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaCreacion;13;;;;;timestamp;CA_CARGA_CURSOS;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
Estado;14;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Estado)
AnioAcademicoId;15;;;;;double;CA_CARGA_CURSOS;AnioAcademicoId
AulaId;16;;;;;double;CA_CARGA_CURSOS;AulaId
GrupoId;17;;;;;double;CA_CARGA_CURSOS;GrupoId
IdPlanEstudioId;18;;;;;double;CA_CARGA_CURSOS;IdPlanEstudioId
IdPlanEstudioVersion;19;;;;;double;CA_CARGA_CURSOS;IdPlanEstudioVersion
CapacidadVacanteP;20;;;;;double;CA_CARGA_CURSOS;CapacidadVacanteP
CapacidadVacanteD;21;;;;;double;CA_CARGA_CURSOS;CapacidadVacanteD
Complejo;22;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Complejo)
Evaluable;23;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Evaluable)
Grupos;24;;;;;double;CA_CARGA_CURSOS;Grupos
Especial;25;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(Especial)
SalaVirtual;26;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(SalaVirtual)
CodigoExternoId;27;;;;;string;CA_CARGA_CURSOS;fn_transform_ClearString(CodigoExternoId)
Id;1;;T;;;double;CA_MAE_EMPLEADO;Id
TipoEmpleado;2;;;;;double;CA_MAE_EMPLEADO;TipoEmpleado
PersonaId;3;;;;;double;CA_MAE_EMPLEADO;PersonaId
web;4;;;;;string;CA_MAE_EMPLEADO;fn_transform_ClearString(web)
Estado;5;;;;;string;CA_MAE_EMPLEADO;fn_transform_ClearString(Estado)
LinkURL;6;;;;;string;CA_MAE_EMPLEADO;fn_transform_ClearString(LinkURL)
FechaCreacion;7;;;;;timestamp;CA_MAE_EMPLEADO;fn_transform_DatetimeMagic(FechaCreacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaActualizacion;8;;;T;;timestamp;CA_MAE_EMPLEADO;fn_transform_DatetimeMagic(FechaActualizacion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
UsuarioCreadorId;9;;;;;double;CA_MAE_EMPLEADO;UsuarioCreadorId
UsuarioAccionId;10;;;;;double;CA_MAE_EMPLEADO;UsuarioAccionId
Id;1;;T;;;double;CA_MAE_GRUPO;Id
Nombre;2;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Nombre)
Descripcion;3;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Descripcion)
Estado;4;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Estado)
GeoreferenciaId;5;;;;;double;CA_MAE_GRUPO;GeoreferenciaId
UsuarioCreadorId;6;;;;;double;CA_MAE_GRUPO;UsuarioCreadorId
UsuarioAccionId;7;;;;;double;CA_MAE_GRUPO;UsuarioAccionId
FechaCreaccion;8;;;;;timestamp;CA_MAE_GRUPO;fn_transform_DatetimeMagic(FechaCreaccion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
FechaAccion;9;;;T;;timestamp;CA_MAE_GRUPO;fn_transform_DatetimeMagic(FechaAccion,NULL,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
Complejo;10;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(Complejo)
CodigoExternoId;11;;;;;string;CA_MAE_GRUPO;fn_transform_ClearString(CodigoExternoId)
Id;1;;T;;;double;CURSOS;Id
Alias;2;;;;;string;CURSOS;fn_transform_ClearString(Alias)
Nombre;3;;;;;string;CURSOS;fn_transform_ClearString(Nombre)
Creditos;4;;;;;string;CURSOS;fn_transform_ClearString(Creditos)
TotalHP;5;;;;;string;CURSOS;fn_transform_ClearString(TotalHP)
TotalHT;6;;;;;string;CURSOS;fn_transform_ClearString(TotalHT)
NotaAprobatoria;7;;;;;string;CURSOS;fn_transform_ClearString(NotaAprobatoria)
Sumilla;8;;;;;string;CURSOS;fn_transform_ClearString(Sumilla)
NivelAcademicoId;9;;;;;double;CURSOS;NivelAcademicoId
SuperId;10;;;;;double;CURSOS;SuperId
EstadoId;11;;;;;double;CURSOS;EstadoId
EntidadId;12;;;;;double;CURSOS;EntidadId
UsuarioAccionId;13;;;;;double;CURSOS;UsuarioAccionId
